id,begin_date,end_date,type,paperless_billing,payment_method,monthly_charges,total_charges,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,gender,senior_citizen,partner,dependents,multiple_lines,target
1302,2017-10-01,,Month-to-month,Yes,Bank transfer (automatic),59.55,1646.45,DSL,No,No,Yes,No,Yes,No,Female,0,No,No,No,0
1303,2014-01-01,2019-11-01,One year,No,Credit card (automatic),115.55,8127.6,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,Yes,1
1304,2017-02-01,,One year,Yes,Mailed check,75.55,2680.15,DSL,Yes,Yes,Yes,Yes,No,Yes,Female,0,No,No,No,0
1305,2018-06-01,2019-10-01,Month-to-month,Yes,Electronic check,86.6,1281.0,Fiber optic,No,No,No,No,Yes,No,Male,1,No,No,Yes,1
1306,2018-04-01,2019-10-01,Month-to-month,Yes,Electronic check,85.2,1553.9,Fiber optic,No,No,No,No,Yes,No,Female,0,No,No,Yes,1
1307,2017-01-01,2019-11-01,Month-to-month,Yes,Electronic check,97.65,3207.55,Fiber optic,No,No,No,No,Yes,Yes,Female,0,Yes,No,Yes,1
1308,2016-08-01,,One year,Yes,Credit card (automatic),45.1,2049.05,DSL,No,Yes,Yes,No,No,Yes,Male,0,Yes,Yes,No,0
1309,2016-02-01,,One year,Yes,Bank transfer (automatic),70.95,3629.2,DSL,Yes,No,No,Yes,No,Yes,Male,0,No,No,Yes,0
1310,2016-01-01,2019-12-01,Month-to-month,Yes,Electronic check,109.55,5124.55,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,1
1311,2016-09-01,2019-12-01,One year,Yes,Electronic check,89.55,3474.45,Fiber optic,No,Yes,Yes,Yes,No,No,Female,0,Yes,Yes,Yes,1
1312,2019-03-01,,Two year,No,Credit card (automatic),20.9,202.3,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
1313,2019-07-01,,Month-to-month,Yes,Mailed check,19.95,147.5,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
1314,2019-11-01,,Month-to-month,No,Mailed check,24.6,86.35,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,0
1315,2019-06-01,,Month-to-month,Yes,Electronic check,66.7,579.0,DSL,Yes,No,Yes,No,No,Yes,Male,0,No,No,No,0
1316,2019-12-01,2020-01-01,Month-to-month,Yes,Mailed check,19.45,19.45,Fiber optic,No,No,No,No,No,No,Male,0,No,Yes,No,1
1317,2017-06-01,,One year,No,Mailed check,94.8,3131.55,Fiber optic,Yes,Yes,Yes,No,No,Yes,Male,0,Yes,Yes,No,0
1318,2015-02-01,,One year,Yes,Bank transfer (automatic),65.85,3928.3,DSL,Yes,Yes,Yes,Yes,No,No,Male,0,Yes,Yes,No,0
1319,2019-04-01,,Month-to-month,Yes,Bank transfer (automatic),19.95,187.75,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,No,0
1320,2014-03-01,,Two year,Yes,Bank transfer (automatic),24.65,1710.15,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,Yes,0
1321,2019-09-01,2020-01-01,Month-to-month,No,Mailed check,20.35,76.35,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,1
1322,2019-10-01,2019-11-01,Month-to-month,Yes,Electronic check,69.25,69.25,Fiber optic,No,No,No,No,No,No,Female,1,No,No,No,1
1323,2016-07-01,,One year,Yes,Bank transfer (automatic),51.25,2151.6,DSL,Yes,Yes,No,Yes,Yes,No,Female,0,Yes,Yes,No,0
1324,2014-11-01,2019-10-01,One year,Yes,Bank transfer (automatic),99.5,5961.1,Fiber optic,No,No,Yes,No,Yes,Yes,Male,0,Yes,No,Yes,1
1325,2018-03-01,,Month-to-month,No,Electronic check,54.25,1221.55,DSL,No,No,Yes,Yes,No,No,Female,0,Yes,No,No,0
1326,2014-02-01,,Two year,No,Bank transfer (automatic),19.4,1496.45,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,No,0
1327,2018-04-01,,One year,Yes,Credit card (automatic),56.25,1292.2,DSL,Yes,No,No,Yes,No,No,Male,0,Yes,No,No,0
1328,2020-01-01,,Month-to-month,Yes,Mailed check,25.15,25.15,DSL,No,No,No,No,No,No,Female,0,No,No,No,0
1329,2014-05-01,,Two year,No,Bank transfer (automatic),23.95,1713.1,Fiber optic,No,No,No,No,No,No,Male,0,No,No,Yes,0
1330,2015-12-01,,One year,Yes,Mailed check,35.4,1748.9,DSL,Yes,No,No,Yes,No,No,Male,0,No,No,No,0
1331,2019-11-01,2019-12-01,Month-to-month,Yes,Electronic check,25.2,25.2,DSL,No,No,No,No,No,No,Female,1,No,No,No,1
1332,2019-09-01,2019-11-01,Month-to-month,Yes,Mailed check,45.0,96.45,DSL,No,No,No,No,No,No,Male,0,No,No,No,1
1333,2018-11-01,,Month-to-month,No,Bank transfer (automatic),75.35,1114.55,Fiber optic,No,Yes,No,No,No,No,Female,0,Yes,No,No,0
1334,2017-07-01,,Two year,No,Bank transfer (automatic),20.4,609.1,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
1335,2019-12-01,2020-01-01,Month-to-month,No,Mailed check,20.15,20.15,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,1
1336,2014-05-01,2019-11-01,Month-to-month,Yes,Credit card (automatic),105.0,7133.25,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,0,Yes,No,Yes,1
1337,2020-02-01,,Two year,No,Credit card (automatic),56.05,2291.023009417808,DSL,Yes,Yes,Yes,Yes,Yes,No,Female,0,Yes,Yes,No,0
1338,2019-07-01,2019-10-01,Month-to-month,Yes,Credit card (automatic),54.7,169.45,DSL,No,No,No,No,Yes,No,Male,0,No,Yes,No,1
1339,2019-06-01,,Two year,No,Mailed check,20.0,141.6,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
1340,2014-10-01,,One year,Yes,Credit card (automatic),73.05,4688.65,DSL,Yes,No,Yes,No,Yes,Yes,Male,0,Yes,Yes,No,0
1341,2017-10-01,,Month-to-month,No,Mailed check,20.5,563.05,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,No,0
1342,2015-05-01,,One year,Yes,Credit card (automatic),100.75,5985.0,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,Yes,No,Yes,0
1343,2018-09-01,2019-11-01,Month-to-month,Yes,Electronic check,87.25,1258.6,Fiber optic,No,No,Yes,No,No,Yes,Female,0,Yes,Yes,Yes,1
1344,2018-07-01,,Two year,Yes,Mailed check,19.95,373.5,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
1345,2019-01-01,2019-11-01,Month-to-month,Yes,Electronic check,79.95,857.2,Fiber optic,No,No,No,No,Yes,No,Male,0,Yes,No,No,1
1346,2015-11-01,,Month-to-month,Yes,Electronic check,49.65,2553.35,DSL,No,Yes,No,No,Yes,Yes,Female,0,Yes,No,No,0
1347,2014-07-01,,Two year,No,Mailed check,65.65,4322.85,DSL,Yes,Yes,Yes,No,No,No,Female,0,Yes,No,Yes,0
1348,2019-03-01,,Month-to-month,Yes,Electronic check,20.45,250.8,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
1349,2014-02-01,,Two year,No,Bank transfer (automatic),60.95,4549.05,DSL,Yes,No,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,No,0
1350,2014-08-01,,One year,Yes,Electronic check,20.35,1359.5,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
1351,2018-06-01,2019-12-01,Month-to-month,Yes,Electronic check,88.35,1639.3,Fiber optic,No,No,No,Yes,Yes,No,Female,0,No,No,Yes,1
1352,2019-05-01,,Month-to-month,Yes,Electronic check,19.5,178.85,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
1353,2019-05-01,,Month-to-month,Yes,Credit card (automatic),75.2,633.85,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,0
1354,2016-02-01,,Month-to-month,Yes,Bank transfer (automatic),111.45,5315.1,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Male,0,Yes,No,Yes,0
1355,2019-04-01,,Month-to-month,No,Mailed check,70.15,735.5,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
1356,2019-01-01,2019-10-01,Month-to-month,Yes,Electronic check,94.75,889.9,Fiber optic,No,No,No,No,Yes,Yes,Female,0,No,No,Yes,1
1357,2018-09-01,2019-10-01,Month-to-month,Yes,Electronic check,95.05,1290.0,Fiber optic,No,No,No,No,Yes,Yes,Female,1,No,No,Yes,1
1358,2019-06-01,2019-10-01,Month-to-month,No,Electronic check,78.45,330.05,Fiber optic,No,Yes,No,No,No,No,Male,0,No,No,Yes,1
1359,2019-07-01,2019-11-01,Month-to-month,Yes,Electronic check,70.2,237.95,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,1
1360,2014-02-01,,Two year,No,Bank transfer (automatic),92.0,6474.4,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,No,Yes,0
1361,2015-11-01,,Two year,No,Credit card (automatic),85.5,4421.95,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,No,0
1362,2014-12-01,2019-11-01,Month-to-month,Yes,Bank transfer (automatic),41.05,2452.7,DSL,No,Yes,No,No,No,Yes,Male,0,Yes,No,No,1
1363,2019-01-01,2019-11-01,Month-to-month,Yes,Electronic check,85.6,813.85,Fiber optic,No,No,No,No,Yes,No,Male,0,Yes,No,Yes,1
1364,2015-01-01,,Month-to-month,Yes,Electronic check,82.15,4904.85,Fiber optic,No,Yes,No,No,No,No,Male,1,Yes,No,Yes,0
1365,2015-08-01,,One year,No,Electronic check,84.4,4484.05,Fiber optic,Yes,No,Yes,Yes,No,No,Male,0,No,No,No,0
1366,2017-05-01,,Month-to-month,Yes,Mailed check,60.9,2033.85,DSL,Yes,Yes,No,No,No,No,Female,0,No,No,Yes,0
1367,2017-11-01,,Two year,Yes,Bank transfer (automatic),20.25,538.2,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
1368,2019-11-01,2019-12-01,Month-to-month,Yes,Electronic check,79.2,79.2,Fiber optic,No,No,No,No,Yes,No,Female,1,No,No,No,1
1369,2018-03-01,,Month-to-month,No,Mailed check,95.3,2192.9,Fiber optic,No,Yes,No,No,Yes,Yes,Male,0,No,No,No,0
1370,2020-01-01,,Month-to-month,No,Mailed check,19.85,19.85,Fiber optic,No,No,No,No,No,No,Male,0,No,Yes,No,0
1371,2016-05-01,,Two year,Yes,Mailed check,84.35,3858.05,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,No,0
1372,2016-11-01,,Two year,Yes,Bank transfer (automatic),19.85,854.8,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
1373,2019-07-01,2019-12-01,One year,Yes,Mailed check,70.0,347.4,DSL,No,No,Yes,No,Yes,Yes,Male,0,No,No,No,1
1374,2014-02-01,,Two year,No,Bank transfer (automatic),82.3,5815.15,DSL,Yes,Yes,Yes,Yes,Yes,No,Male,0,Yes,Yes,Yes,0
1375,2015-04-01,,Month-to-month,Yes,Bank transfer (automatic),66.8,3970.4,DSL,No,Yes,No,No,Yes,No,Female,0,Yes,Yes,Yes,0
1376,2014-04-01,,Two year,Yes,Bank transfer (automatic),44.6,3058.15,DSL,Yes,Yes,Yes,Yes,No,No,Female,0,No,No,No,0
1377,2015-01-01,,One year,Yes,Bank transfer (automatic),98.45,6145.2,Fiber optic,No,Yes,No,Yes,Yes,Yes,Male,0,Yes,Yes,No,0
1378,2019-12-01,,Month-to-month,No,Mailed check,70.7,129.2,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
1379,2016-04-01,,One year,No,Mailed check,24.95,1165.9,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,Yes,0
1380,2019-12-01,2020-01-01,Month-to-month,Yes,Bank transfer (automatic),49.95,49.95,DSL,No,No,No,No,No,No,Female,0,No,No,Yes,1
1381,2018-03-01,2020-01-01,Month-to-month,Yes,Electronic check,69.25,1554.0,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,No,1
1382,2016-02-01,,Two year,Yes,Credit card (automatic),102.5,4904.25,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Female,0,No,No,No,0
1383,2014-10-01,,Two year,No,Credit card (automatic),86.55,5632.55,DSL,No,Yes,Yes,Yes,Yes,Yes,Male,0,No,No,Yes,0
1384,2014-02-01,,Two year,No,Bank transfer (automatic),24.3,1643.25,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,Yes,0
1385,2019-02-01,,Month-to-month,Yes,Credit card (automatic),58.35,740.55,DSL,No,No,Yes,No,Yes,No,Female,0,Yes,Yes,No,0
1386,2017-02-01,2019-12-01,Month-to-month,Yes,Electronic check,94.25,3217.55,Fiber optic,No,Yes,Yes,No,No,Yes,Female,1,Yes,No,Yes,1
1387,2014-02-01,,Two year,No,Credit card (automatic),68.75,4888.2,DSL,Yes,Yes,Yes,No,No,Yes,Female,0,Yes,Yes,No,0
1388,2017-09-01,,Month-to-month,Yes,Electronic check,85.8,2440.25,Fiber optic,No,Yes,Yes,No,No,No,Male,0,Yes,No,Yes,0
1389,2017-05-01,,One year,No,Credit card (automatic),20.1,620.55,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
1390,2020-01-01,,Month-to-month,No,Mailed check,20.35,20.35,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
1391,2014-12-01,,One year,Yes,Electronic check,110.8,6840.95,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,0
1392,2016-08-01,2020-01-01,One year,Yes,Electronic check,73.0,3001.2,DSL,No,No,Yes,No,Yes,Yes,Male,0,Yes,No,Yes,1
1393,2014-07-01,2019-11-01,One year,Yes,Credit card (automatic),100.05,6254.2,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,No,No,Yes,1
1394,2019-10-01,,Month-to-month,Yes,Credit card (automatic),82.85,319.6,Fiber optic,No,No,Yes,No,No,Yes,Female,0,No,No,No,0
1395,2018-02-01,,Month-to-month,Yes,Electronic check,84.35,1938.05,Fiber optic,Yes,No,No,Yes,No,No,Female,0,No,No,Yes,0
1396,2018-12-01,,One year,No,Mailed check,19.55,294.5,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
1397,2019-11-01,,Month-to-month,No,Mailed check,19.95,58.3,Fiber optic,No,No,No,No,No,No,Male,0,No,Yes,No,0
1398,2019-07-01,2019-11-01,Month-to-month,Yes,Credit card (automatic),99.8,442.85,Fiber optic,No,Yes,Yes,No,Yes,Yes,Female,1,No,No,No,1
1399,2018-07-01,2020-01-01,Month-to-month,Yes,Electronic check,35.0,553.0,DSL,No,No,No,No,No,Yes,Female,0,No,Yes,No,1
1400,2019-06-01,,Month-to-month,Yes,Electronic check,66.25,546.45,DSL,No,No,No,No,Yes,Yes,Male,0,No,No,No,0
1401,2017-03-01,,Two year,No,Bank transfer (automatic),23.3,797.1,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,0
1402,2019-12-01,2020-01-01,Month-to-month,No,Electronic check,76.0,76.0,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,1
1403,2014-08-01,,Two year,Yes,Credit card (automatic),25.3,1673.8,Fiber optic,No,No,No,No,No,No,Male,0,No,Yes,Yes,0
1404,2019-06-01,,Two year,Yes,Mailed check,44.55,343.45,DSL,Yes,No,No,Yes,No,Yes,Male,0,No,Yes,No,0
1405,2014-03-01,,One year,Yes,Credit card (automatic),104.1,7412.25,Fiber optic,Yes,No,Yes,No,Yes,Yes,Female,0,Yes,No,Yes,0
1406,2016-07-01,,Month-to-month,Yes,Bank transfer (automatic),92.55,4039.0,Fiber optic,No,No,Yes,No,No,Yes,Female,0,Yes,Yes,Yes,0
1407,2019-08-01,2019-10-01,Month-to-month,Yes,Electronic check,93.85,170.85,Fiber optic,No,No,No,No,Yes,Yes,Female,1,No,No,Yes,1
1408,2017-09-01,,Month-to-month,Yes,Bank transfer (automatic),101.45,2948.6,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,1,No,No,No,0
1409,2018-10-01,2020-01-01,Month-to-month,Yes,Electronic check,84.3,1308.4,Fiber optic,No,No,Yes,No,Yes,No,Female,0,Yes,No,No,1
1410,2014-09-01,,Two year,No,Credit card (automatic),94.55,6078.75,Fiber optic,Yes,Yes,Yes,Yes,No,No,Male,0,Yes,Yes,Yes,0
1411,2017-03-01,,Month-to-month,No,Electronic check,95.5,3418.2,Fiber optic,No,No,Yes,Yes,Yes,No,Male,0,No,No,Yes,0
1412,2014-10-01,,One year,Yes,Credit card (automatic),100.3,6603.8,Fiber optic,Yes,Yes,No,No,Yes,Yes,Male,0,No,No,No,0
1413,2015-04-01,,Two year,Yes,Credit card (automatic),55.5,3166.9,DSL,No,No,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,No,0
1414,2018-08-01,,Month-to-month,Yes,Credit card (automatic),49.85,865.75,DSL,No,Yes,No,No,No,No,Female,1,No,No,No,0
1415,2014-07-01,,Month-to-month,Yes,Bank transfer (automatic),89.55,6373.1,Fiber optic,No,Yes,No,No,No,Yes,Male,0,Yes,Yes,Yes,0
1416,2014-11-01,,Two year,Yes,Mailed check,19.15,1177.05,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
1417,2015-02-01,,Month-to-month,Yes,Electronic check,99.8,5985.75,Fiber optic,No,Yes,No,No,Yes,Yes,Female,0,Yes,No,Yes,0
1418,2019-03-01,2019-12-01,Month-to-month,Yes,Credit card (automatic),84.4,732.5,Fiber optic,No,No,No,No,No,Yes,Male,1,No,No,Yes,1
1419,2014-04-01,,Two year,Yes,Credit card (automatic),113.05,7869.05,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,0
1420,2018-10-01,2020-01-01,Month-to-month,Yes,Electronic check,101.1,1504.05,Fiber optic,No,No,Yes,No,Yes,Yes,Male,0,Yes,No,Yes,1
1421,2016-02-01,,One year,No,Mailed check,19.95,936.7,Fiber optic,No,No,No,No,No,No,Female,0,No,Yes,No,0
1422,2019-02-01,,Month-to-month,Yes,Electronic check,74.15,741.4,DSL,No,No,Yes,Yes,Yes,Yes,Male,0,Yes,No,No,0
1423,2014-03-01,,One year,Yes,Electronic check,92.0,6585.2,Fiber optic,Yes,Yes,Yes,Yes,No,No,Male,1,Yes,No,Yes,0
1424,2016-06-01,,Month-to-month,No,Electronic check,73.85,3122.4,Fiber optic,No,No,Yes,No,No,No,Male,1,No,No,No,0
1425,2019-11-01,2019-12-01,Month-to-month,Yes,Electronic check,50.45,50.45,DSL,No,No,No,No,No,No,Male,0,No,No,Yes,1
1426,2016-05-01,,Two year,No,Mailed check,24.45,1088.25,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,Yes,0
1427,2018-03-01,,One year,No,Credit card (automatic),24.8,615.35,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,0
1428,2016-07-01,,One year,Yes,Bank transfer (automatic),64.85,2908.2,DSL,No,No,No,Yes,Yes,No,Female,0,Yes,No,Yes,0
1429,2017-03-01,,Month-to-month,No,Bank transfer (automatic),20.75,739.9,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
1430,2019-05-01,,Month-to-month,Yes,Mailed check,68.95,593.85,DSL,Yes,Yes,No,Yes,Yes,No,Male,0,Yes,No,No,0
1431,2018-10-01,2019-10-01,Month-to-month,Yes,Mailed check,99.95,1132.75,Fiber optic,No,No,No,Yes,Yes,Yes,Male,0,No,No,Yes,1
1432,2014-09-01,,Month-to-month,Yes,Credit card (automatic),109.4,7227.45,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Female,1,Yes,No,Yes,0
1433,2019-11-01,2020-01-01,Month-to-month,Yes,Electronic check,91.4,193.6,Fiber optic,No,No,Yes,No,Yes,No,Female,0,No,No,Yes,1
1434,2017-11-01,,Month-to-month,No,Mailed check,49.0,1291.35,DSL,No,No,No,No,No,No,Male,0,No,No,Yes,0
1435,2016-10-01,,One year,Yes,Mailed check,50.25,2023.55,DSL,No,No,Yes,No,No,No,Female,0,No,No,No,0
1436,2019-06-01,2019-11-01,Month-to-month,Yes,Credit card (automatic),75.55,349.65,Fiber optic,No,No,Yes,No,No,No,Female,1,No,No,No,1
1437,2019-06-01,,One year,No,Credit card (automatic),19.9,153.95,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
1438,2015-04-01,,One year,Yes,Bank transfer (automatic),97.8,5458.8,Fiber optic,No,Yes,No,No,Yes,Yes,Female,1,Yes,No,Yes,0
1439,2015-10-01,,One year,No,Electronic check,100.3,5244.45,Fiber optic,Yes,No,Yes,No,Yes,Yes,Female,0,Yes,Yes,No,0
1440,2019-11-01,,Month-to-month,Yes,Mailed check,55.8,154.55,DSL,No,No,Yes,Yes,No,No,Male,0,Yes,No,No,0
1441,2016-09-01,,Two year,Yes,Electronic check,111.15,4507.15,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,No,Yes,No,0
1442,2018-06-01,,Month-to-month,Yes,Mailed check,98.55,2031.95,Fiber optic,No,No,No,Yes,Yes,Yes,Male,0,No,No,Yes,0
1443,2020-01-01,,Month-to-month,Yes,Electronic check,50.05,50.05,DSL,No,No,No,No,No,No,Male,0,No,Yes,Yes,0
1444,2019-09-01,2020-01-01,Month-to-month,No,Credit card (automatic),80.8,332.45,Fiber optic,No,No,No,Yes,No,No,Male,0,No,Yes,Yes,1
1445,2018-03-01,,Month-to-month,No,Electronic check,20.85,473.9,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
1446,2019-08-01,,Month-to-month,No,Bank transfer (automatic),19.5,106.8,Fiber optic,No,No,No,No,No,No,Female,1,No,No,No,0
1447,2019-06-01,,Month-to-month,Yes,Mailed check,19.35,152.6,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
1448,2018-08-01,,Month-to-month,No,Mailed check,69.5,1199.4,DSL,Yes,No,Yes,No,Yes,No,Male,0,No,No,Yes,0
1449,2015-10-01,,Month-to-month,Yes,Credit card (automatic),48.8,2555.05,DSL,Yes,No,No,No,Yes,Yes,Male,1,No,No,No,0
1450,2017-07-01,,Month-to-month,Yes,Electronic check,94.5,2979.2,Fiber optic,No,Yes,No,No,Yes,Yes,Male,0,No,No,No,0
1451,2017-09-01,,Month-to-month,Yes,Mailed check,20.65,654.85,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
1452,2017-02-01,,Two year,Yes,Credit card (automatic),106.05,3834.4,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Female,0,Yes,No,Yes,0
1453,2018-08-01,2019-12-01,Month-to-month,Yes,Electronic check,100.0,1534.75,Fiber optic,No,Yes,No,No,Yes,Yes,Female,0,Yes,No,Yes,1
1454,2016-08-01,,One year,Yes,Electronic check,108.3,4586.15,Fiber optic,No,No,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,0
1455,2019-11-01,2019-12-01,Month-to-month,No,Electronic check,20.55,20.55,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,1
1456,2015-02-01,,Two year,Yes,Electronic check,99.65,5941.05,Fiber optic,No,Yes,Yes,No,Yes,Yes,Female,0,No,No,No,0
1457,2019-06-01,2019-11-01,Month-to-month,Yes,Electronic check,85.3,424.15,Fiber optic,No,Yes,Yes,No,No,No,Male,0,No,No,Yes,1
1458,2018-04-01,,Month-to-month,No,Credit card (automatic),95.9,2234.95,Fiber optic,Yes,No,No,Yes,Yes,No,Male,0,Yes,No,Yes,0
1459,2017-02-01,,One year,No,Mailed check,20.0,666.75,Fiber optic,No,No,No,No,No,No,Male,0,Yes,No,No,0
1460,2019-08-01,2019-12-01,Month-to-month,No,Electronic check,70.4,281.0,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,1
1461,2019-05-01,,Month-to-month,No,Mailed check,64.95,547.8,DSL,Yes,No,No,Yes,No,Yes,Male,0,No,No,No,0
1462,2020-01-01,,Month-to-month,No,Credit card (automatic),74.6,74.6,Fiber optic,No,Yes,No,No,No,No,Male,0,Yes,Yes,No,0
1463,2019-02-01,,Month-to-month,Yes,Electronic check,49.2,571.15,DSL,Yes,No,No,No,No,No,Male,0,Yes,Yes,No,0
1464,2018-03-01,,One year,Yes,Mailed check,73.75,1756.6,DSL,No,No,No,Yes,Yes,Yes,Female,0,No,No,Yes,0
1465,2014-12-01,,One year,Yes,Bank transfer (automatic),92.3,5731.45,Fiber optic,Yes,Yes,No,No,No,Yes,Male,0,No,No,Yes,0
1466,2016-10-01,2019-11-01,Month-to-month,No,Bank transfer (automatic),98.8,3475.55,Fiber optic,No,No,No,Yes,Yes,Yes,Male,0,No,No,Yes,1
1467,2019-06-01,,Month-to-month,No,Mailed check,19.2,156.85,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
1468,2017-07-01,,Month-to-month,No,Credit card (automatic),88.65,2683.2,Fiber optic,No,No,Yes,No,Yes,No,Male,0,Yes,No,Yes,0
1469,2018-11-01,2019-12-01,Month-to-month,Yes,Credit card (automatic),74.4,896.75,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,Yes,1
1470,2017-11-01,2019-11-01,Month-to-month,Yes,Electronic check,98.75,2407.3,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,No,No,Yes,1
1471,2016-05-01,,Month-to-month,Yes,Bank transfer (automatic),95.95,4456.65,Fiber optic,No,Yes,Yes,No,No,Yes,Male,0,Yes,Yes,Yes,0
1472,2014-05-01,,Two year,No,Credit card (automatic),105.4,6998.95,Fiber optic,No,Yes,No,Yes,Yes,Yes,Female,1,Yes,No,Yes,0
1473,2019-12-01,,Month-to-month,No,Mailed check,20.25,36.8,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
1474,2014-12-01,2020-01-01,One year,Yes,Electronic check,106.0,6547.7,Fiber optic,Yes,Yes,No,No,Yes,Yes,Male,0,Yes,Yes,Yes,1
1475,2016-06-01,2019-11-01,Month-to-month,Yes,Electronic check,104.7,4346.4,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,0,No,No,Yes,1
1476,2016-06-01,,One year,Yes,Electronic check,49.05,2265.0,DSL,No,No,Yes,No,Yes,Yes,Female,0,No,No,No,0
1477,2016-11-01,,One year,No,Mailed check,35.55,1309.15,DSL,No,No,Yes,Yes,No,No,Male,0,No,No,No,0
1478,2014-02-01,,Two year,Yes,Credit card (automatic),65.1,4754.3,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,No,0
1479,2019-01-01,,Month-to-month,Yes,Electronic check,96.85,1235.55,Fiber optic,No,No,Yes,No,Yes,Yes,Female,1,No,No,No,0
1480,2015-11-01,,One year,Yes,Credit card (automatic),69.75,3562.5,DSL,Yes,Yes,No,Yes,No,Yes,Female,0,Yes,Yes,No,0
1481,2014-03-01,,Two year,Yes,Electronic check,99.2,7213.75,Fiber optic,No,Yes,Yes,No,Yes,Yes,Female,1,Yes,No,No,0
1482,2018-01-01,2019-11-01,Month-to-month,Yes,Electronic check,96.7,2082.95,Fiber optic,No,No,No,No,Yes,Yes,Male,1,No,No,Yes,1
1483,2019-10-01,2019-12-01,Month-to-month,Yes,Credit card (automatic),55.05,102.75,DSL,No,Yes,No,Yes,No,No,Female,0,No,No,No,1
1484,2015-06-01,,One year,Yes,Electronic check,106.8,5914.4,Fiber optic,No,Yes,Yes,No,Yes,Yes,Female,0,No,No,Yes,0
1485,2020-01-01,,Month-to-month,No,Mailed check,51.25,51.25,DSL,Yes,No,No,No,No,No,Male,0,No,No,No,0
